"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0362","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","29","Early Afternoon","58","Early Afternoon","version5"
"0515","41-60","Female","Right","TRUE","Midwest","0","Early Evening","41","Late Evening","67","Late Evening","version5"
"0299","25-40","Male","Right","FALSE","NA","0","Late Morning","104","Early Morning","175","Early Morning","version5"
"0450","25-40","Female","Right","TRUE","Midwest","0","Early Afternoon","47","Early Morning","71","Late Afternoon","version5"
"0359","18-24","Male","Right","FALSE","NA","0","Late Afternoon","22","Late Morning","NA","NA","version5"
"0675","18-24","Female","Right","TRUE","South","0","Early afternoon (12:00pm-2:30pm)","19","Early afternoon (12:00pm-2:30pm)","37","Early afternoon (12:00pm-2:30pm)","version5"
"0182","41-60","Male","Right","FALSE","NA","0","Late Evening","93","Early Afternoon","132","Early Morning","version5"
"0357","18-24","Male","Right","TRUE","Midwest","0","Late Afternoon","23","Late Evening","48","Late Afternoon","version5"
"0175","18-24","Female","Left","TRUE","Midwest","0","Late Evening","78","Late Morning","99","Late Morning","version5"
"0628","25-40","Female","Right","FALSE","NA","0","Early morning (earlier than 9:30am)","21","Early afternoon (12:00pm-2:30pm)","42","Early afternoon (12:00pm-2:30pm)","version5"
"0384","18-24","Female","Right","TRUE","Midwest","0","Early Evening","27","Early Afternoon","62","Late Morning","version5"
"0658","61+","Male","Right","TRUE","Midwest","0","Late evening (later than 7:30pm)","36","Late evening (later than 7:30pm)","68","Late evening (later than 7:30pm)","version5"
"0493","NA","Female","Left","TRUE","Midwest","0","NA","29","Early Evening","110","Early Afternoon","version5"
"0646","18-24","Female","Right","TRUE","Midwest","0","Late evening (later than 7:30pm)","21","Late evening (later than 7:30pm)","49","Late evening (later than 7:30pm)","version5"
"0484","18-24","Female","Left","TRUE","Midwest","0","Late Afternoon","26","Early Evening","73","Early Afternoon","version5"
"0238","41-60","Female","Right","TRUE","West","0","Late Evening","33","Late Afternoon","75","Early Evening","version5"
"0058","18-24","Female","Right","TRUE","Midwest","0","Late Evening","72","Early Afternoon","101","Early Afternoon","version5"
"0255","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Late Evening","97","Late Evening","version5"
"0605","25-40","Male","Right","TRUE","Midwest","0","Late morning (9:30am-12:00pm)","29","Early morning (earlier than 9:30am)","55","Early morning (earlier than 9:30am)","version5"
"0571","18-24","Male","Right","TRUE","Northeast","0","Late morning (9:30am-12:00pm)","35","Late afternoon (2:30pm-5pm)","100","Early evening (5pm-7:30pm)","version5"
"0530","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","43","Early Afternoon","93","Late Evening","version5"
"0291","41-60","Male","Right","TRUE","Midwest","0","Early Afternoon","32","Early Afternoon","60","Late Afternoon","version5"
"0468","18-24","Male","Right","TRUE","Midwest","0","Late Evening","22","Late Evening","49","Early Afternoon","version5"
"0370","18-24","Male","Right","TRUE","Midwest","0","Late Afternoon","53","Early Morning","226","Early Evening","version5"
"0546","18-24","Female","Left","TRUE","NA","0","Early Morning","26","Late Afternoon","49","Early Afternoon","version5"
"0513","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","39","Late Morning","65","Early Afternoon","version5"
"0337","41-60","Female","Right","TRUE","Midwest","0","Early Evening","32","Early Evening","128","Early Afternoon","version5"
"0156","18-24","male","right","TRUE","midwest","0","lateevening","36","lateevening","99","lateevening","version5"
"0446","25-40","Female","Right","TRUE","Midwest","0","Early Evening","33","Early Morning","71","Early Morning","version5"
"0680","18-24","Female","Right","TRUE","South","0","Late afternoon (2:30pm-5pm)","19","Early evening (5pm-7:30pm)","39","Early evening (5pm-7:30pm)","version5"
"0519","18-24","Female","Right","TRUE","Midwest","0","Late Morning","21","Late Evening","49","Late Evening","version5"
"0260","41-60","Female","Right","TRUE","Northeast","0","Early Evening","55","Late Morning","108","Late Morning","version5"
"0448","41-60","Female","Right","FALSE","NA","0","Late Afternoon","114","Late Evening","143","Late Afternoon","version5"
"0144","41-60","female","right","TRUE","midwest","0","earlyafternoon","28","lateafternoon","64","lateafternoon","version5"
"0383","25-40","Female","Right","FALSE","NA","0","Early Afternoon","67","Late Afternoon","88","Late Afternoon","version5"
"0090","61+","Male","Right","NA","NA","0","Late Morning","106","Late Evening","205","Late Evening","version5"
"0279","41-60","Female","Right","TRUE","Midwest","0","Early Afternoon","43","Late Morning","66","Early Afternoon","version5"
"0470","18-24","Male","Right","TRUE","Midwest","0","Early Afternoon","30","Late Evening","66","Early Afternoon","version5"
"0002","41-60","male","right","TRUE","midwest","0","latemorning","53","latemorning","98","earlyafternoon","version5"
"0500","18-24","Female","Right","TRUE","Midwest","0","Late Morning","22","Early Afternoon","41","Late Morning","version5"
"0382","18-24","Female","Right","TRUE","Midwest","0","Early Evening","155","Late Evening","187","Late Afternoon","version5"
"0562","18-24","Female","Right","TRUE","Northeast","0","Early evening (5pm-7:30pm)","43","Late evening (later than 7:30pm)","102","Early afternoon (12:00pm-2:30pm)","version5"
"0028","41-60","female","right","TRUE","midwest","0","earlyafternoon","34","earlymorning","67","earlymorning","version5"
"0525","18-24","Female","Right","TRUE","Midwest","0","Late Morning","28","Late Morning","76","Late Morning","version5"
"0535","18-24","Female","Right","TRUE","Midwest","0","Early Evening","28","Early Afternoon","54","Early Evening","version5"
"0611","61+","Male","Right","TRUE","South","0","Late morning (9:30am-12:00pm)","59","Late evening (later than 7:30pm)","54","Late evening (later than 7:30pm)","version5"
"0092","41-60","female","right","TRUE","midwest","0","earlyafternoon","35","earlymorning","67","latemorning","version5"
"0632","18-24","Female","Left","TRUE","West","0","Late afternoon (2:30pm-5pm)","40","Early afternoon (12:00pm-2:30pm)","97","Early evening (5pm-7:30pm)","version5"
"0089","25-40","male","right","TRUE","midwest","0","lateevening","44","latemorning","73","earlyafternoon","version5"
